Día ;Muestra ;Tiempo ;Turbidez 
3;1;0.50;169.30
3;2;1.00;251.80
3;3;1.50;360.60
3;4;2.00;389.90
3;5;2.50;402.20
3;6;3.00;341.60
3;7;3.50;128.40
3;8;4.00;136.60
3;9;4.50;69.44
3;10;5.00;61.70
3;11;5.50;59.70
3;12;6.00;49.51
3;13;6.50;45.40
3;14;7.00;43.20
3;15;7.50;31.70
3;16;8.00;26.14
3;17;8.50;24.18
3;18;9.00;21.30
3;19;9.50;26.08
3;20;10.00;24.10
3;21;10.50;21.19
3;22;11.00;22.14
3;23;11.50;19.21
3;24;12.00;21.14
3;25;12.50;19.36
3;26;13.00;20.18
3;27;13.50;19.06
3;28;14.00;18.12
3;29;14.50;16.43
3;30;15.00;19.02
3;31;15.50;16.36
3;32;16.00;14.02
3;33;16.50;10.06
3;34;17.00;10.29
3;35;17.50;8.60
3;36;18.00;8.88
3;37;18.50;6.21
3;38;19.00;5.29
3;39;19.50;4.49
3;40;20.00;2.21
3;41;20.50;0.26
3;42;21.00;0.31
3;43;21.50;0.00
3;44;22.00;0.06
3;45;22.50;0.10
3;46;23.00;0.00
3;47;23.50;86.18
3;48;24.00;10.11
3;49;24.50;2.26
3;50;25.00;0.06
3;51;25.50;0.04
3;52;26.00;0.09
