Día ;Muestra ;Tiempo ;Turbidez 
4;1;0.50;86.76
4;2;1.00;58.04
4;3;1.50;97.69
4;4;2.00;224.60
4;5;2.50;219.50
4;6;3.00;421.70
4;7;3.50;317.90
4;8;4.00;267.00
4;9;4.50;241.30
4;10;5.00;159.50
4;11;5.50;133.10
4;12;6.00;114.00
4;13;6.50;101.80
4;14;7.00;77.86
4;15;7.50;68.40
4;16;8.00;63.06
4;17;8.50;49.24
4;18;9.00;41.04
4;19;9.50;37.27
4;20;10.00;31.97
4;21;10.50;28.01
4;22;11.00;27.86
4;23;11.50;21.42
4;24;12.00;20.50
4;25;12.50;16.72
4;26;13.00;17.83
4;27;13.50;15.40
4;28;14.00;14.37
4;29;14.50;13.03
4;30;15.00;12.19
4;31;15.50;11.33
4;32;16.00;11.87
4;33;16.50;10.43
4;34;17.00;10.70
4;35;17.50;9.16
4;36;18.00;6.89
4;37;18.50;7.45
4;38;19.00;4.62
4;39;19.50;0.32
4;40;20.00;4.90
4;41;20.50;0.00
4;42;21.00;0.00
4;43;21.50;0.00
4;44;22.00;0.00
4;45;22.50;0.00
4;46;23.00;0.00
4;47;23.50;7.06
4;48;24.00;0.14
4;49;24.50;0.00
4;50;25.00;0.00
4;51;25.50;0.00
4;52;26.00;0.00
