Dia;Muestra;Tiempo ;Turbidez 
5;1;0.5;71.58
5;2;1;193.4
5;3;1.5;298.7
5;4;2;678.9
5;5;2.5;532.4
5;6;3;502.2
5;7;3.5;433.7
5;8;4;373.5
5;9;4.5;308.4
5;10;5;247.2
5;11;5.5;187.1
5;12;6;140.8
5;13;6.5;111.7
5;14;7;86.23
5;15;7.5;66.94
5;16;8;54.5
5;17;8.5;47.1
5;18;9;38.26
5;19;9.5;30.88
5;20;10;25.42
5;21;10.5;23.05
5;22;11;20.64
5;23;11.5;18.07
5;24;12;17.52
5;25;12.5;15.46
5;26;13;13.71
5;27;13.5;14.29
5;28;14;12.21
5;29;14.5;12.16
5;30;15;11.9
5;31;15.5;16.57
5;32;16;11.68
5;33;16.5;5.58
5;34;17;0
5;35;17.5;0
5;36;18;0
5;37;18.5;0
5;38;19;0
5;39;19.5;0
5;40;20;0
5;41;20.5;0
5;42;21;0
