Dia;Muestra ;Tiempo ;Turbidez 
5;1;0.5;45.18
5;2;1;119.9
5;3;1.5;187.2
5;4;2;136.7
5;5;2.5;339.4
5;6;3;559.8
5;7;3.5;336.7
5;8;4;301.3
5;9;4.5;258.6
5;10;5;187.1
5;11;5.5;161.1
5;12;6;122.4
5;13;6.5;96.35
5;14;7;76.28
5;15;7.5;69.27
5;16;8;62.97
5;17;8.5;58.77
5;18;9;45.16
5;19;9.5;37.45
5;20;10;31.42
5;21;10.5;27.38
5;22;11;24.13
5;23;11.5;21.6
5;24;12;19.21
5;25;12.5;17.23
5;26;13;16.17
5;27;13.5;15.14
5;28;14;14.36
5;29;14.5;14.06
5;30;15;13.04
5;31;15.5;12.97
5;32;16;12.27
5;33;16.5;10.69
5;34;17;10.97
5;35;17.5;11.08
5;36;18;11.42
5;37;18.5;9.9
5;38;19;9.6
5;39;19.5;12.01
5;40;20;8.33
5;41;20.5;0
5;42;21;0
5;43;21.5;0
5;44;22;0
5;45;22.5;0
5;46;23;0
5;47;23.5;11.12
5;48;24;2.91
5;49;24.5;2.39
5;50;25;0
5;51;25.5;0
5;52;26;0
