Dia;Muestra ;Tiempo ;Turbidez 
2;1;0.5;201.1
2;2;1;362.8
2;3;1.5;305.5
2;4;2;263.9
2;5;2.5;193.9
2;6;3;225
2;7;3.5;152.6
2;8;4;125.3
2;9;4.5;91.84
2;10;5;64.96
2;11;5.5;50.71
2;12;6;41.57
2;13;6.5;35.49
2;14;7;28.59
2;15;7.5;27.72
2;16;8;22.53
2;17;8.5;19.31
2;18;9;18.74
2;19;9.5;15.82
2;20;10;16.98
2;21;10.5;12.4
2;22;11;14.81
2;23;11.5;14.52
2;24;12;13.42
2;25;12.5;11.89
2;26;13;10.21
2;27;13.5;16.58
2;28;14;12.49
2;29;14.5;10.88
2;30;15;6.19
2;31;15.5;4.77
2;32;16;6.19
2;33;16.5;4.76
2;34;17;10.71
2;35;17.5;6.57
2;36;18;3.72
2;37;18.5;
2;38;19;
2;39;19.5;
2;40;20;
2;41;20.5;0
2;42;21;0.01
2;43;21.5;0
2;44;22;0.03
2;45;22.5;0
2;46;23;0
2;47;23.5;131.2
2;48;24;3.68
2;49;24.5;2.42
2;50;25;0
2;51;25.5;0
2;52;26;0
